id,bus_id,hd_id,user_id,status_id,date,time,notes
1,1,6,4,out,8/6/2019,9:00,abcckcd
2,6,8,8,out,9/7/2019,11:00,djcjdjdo
3,8,1,4,out,10/3/2019,6:00,sjfsij
4,3,2,5,out,10/23/2019,6:00,
5,5,7,4,out,11/8/2019,7:00,codjocdo
6,12,10,8,out,11/15/2019,8:00,
7,8,6,4,in,10/3/2019,6:00,cjdojo
8,5,11,4,in,11/8/2019,7:00,ifdifi
9,12,13,8,in,11/15/2019,8:00,fdfd
10,10,4,4,out,12/5/2019,9:00,ddofof
11,3,9,5,in,10/23/2019,6:00,fdfd
12,6,3,8,in,9/7/2019,11:00,fdfdfdggrhh
13,10,2,4,in,12/5/2019,9:00,
14,1,5,4,in,8/6/2019,9:00,hfdhfdfhdhffyfdfdfdffdfdydudiidfu
15,8,6,5,out,12/20/2019,7:00,
16,8,10,5,in,12/20/2019,7:00,Test
